Hallo,greeting
Hallllo,greeting
Hallöle,greeting
Hallöchen,greeting
Hallösche,greeting
Hi,greeting
Hey,greeting
Hoi,greeting
Hai,greeting
Huhu,greeting
Tach,greeting
Servus,greeting
Grüß dich,greeting
Wie heisst du?,identity
Wie ist dein Name?,identity
Wer bist du?,identity
Was bist du?,identity
Wer ist da?,identity
Wo bist du?,identity
Mit wem Spreche ich?,identity
Kenn ich dich?,identity
Seit wann gibt es den Freiraum?,opening
Wie lange gibt des den Freiraum?,opening
Seit wann gibt es die Innovationswerkstatt?,opening
Wie lange gibt es die Innovationswerkstatt?,opening
Wann war die Eröffnung?,opening
Wie lange ist die Eröffnung her?,opening
Wann hat der Freiraum eröffnet?,opening
Wann wurde der Freiraum eröffnet?,opening
Was kann ich hier machen?,concepts
Was darf ich hier machen?,concepts
Was soll ich hier?,concepts
Was passiert hier?,concepts
Wie funktioniert das hier?,concepts
Welche Konzepte gibt es hier?,concepts
Wie ist das Konzept?,concepts
Wie ist das Raumkonzept?,concepts
Was kann ich hier tun?,concepts
Was darf ich hier tun?,concepts
Was gibt es hier zu tun?,concepts
Wie läuft das hier?,concepts
Was läuft hier?,concepts
Wie kann ich die Räumlichkeiten nutzen?,usage
Wie kann ich den Freiraum nutzen?,usage
Wie kann ich die Innovationswerkstatt nutzen?,usage
Wie nutze ich die Räumlichkeiten?,usage
Gibt es eine Hausordnung?,rules
Wie ist die Hausorndung?,rules
Gibts es Regeln?,rules
Was muss ich beachten?,rules
Wie kann ich den Freiraum buchen?,booking
Wie kann ich die Räumlichkeiten buchen?,booking
Wie kann ich die Besprechungsräume reservieren?,booking
Kann ich den Freiraum über den Notes-Kalender buchen?,booking
Kann ich die Innovationswerkstatt über den Notes-Kalender buchen?,booking
Wie buche ich Besprechungsräume?,booking
Was ist hier so los?,events
Welche Veranstaltungen finden hier statt?,events
Gibt es ein Programm?,events
Wie sind die Öffnungszeiten?,businesshours
Wann ist hier auf?,businesshours
Wann kann ich rein?,businesshours
Wer kann hier alles rein?,access
Wer darf den Raum nutzen?,access
Wie funktioniert die Kaffeemaschine?,coffeemachine
Wie mache ich Kaffee?, coffeemachine
Wer macht hier Kaffee?,makingcoffee
Wer kocht Kaffee?,makingcoffee
Wo gibts hier Kaffe?,coffee
Ich will Kaffee?,coffee
Woher bekomme ich Kaffe?,coffee
Was ist 2+2?,math
Was ist 2*2?,math
Wieviel ist 32/7?,math
Wie läuft das mit dem Grill?,grill
Kann ich den Grill reservieren?,grill
Was muss ich organisieren um zu Grillen?,grill
Kaffee?,coffee
Ist der der Kaffee kostenlos?,coffeepayment
Muss man für den Kaffee etwas bezahlen?,coffeepayment
Wieviel kostet der Kaffee?,coffeepayment
Was Kostet der Kaffee?,coffeepayment
Wer ist Ansprechpartner?,host
Wer ist hier zuständig?,host
Wer ist hier der Chef?,host
Wer kann mir Fragen zum Freiraum beantworten?,host
Wer kann mir weitere Frage beantworten?,host
Wer ist mein Ansprechpartner?,host
Erzähl mir einen Witz!,joke
Witz?,joke
Kennst du einen Witz?,joke
Wo ist Rudi?,rudi
Ist Rudi da?,rudi
Wer ist Rudi?,rudi
Was macht Rudi?,rudi
Was kann Rudi?,rudi
Für wieviele Personen ist der Freiraum geeignet?,capacity
Für wieviele Personen ist die Innovationswerkstatt geeignet?,capacity
Wie hoch ist die Kapazität der Innovationswerkstatt?,capacity
Wie hoch ist die Kapazität des Freiraums?,capacity
Wieviele Leute passen rein?,capacity
Gibt es ein Raumkonzept?,rooms
Welche Räume gibt es?,rooms
Welche Hausordnung gilt?,rules
Gibt es eine Hausordnung?,rules
Gibt es Regeln?,rules
Wie siehts mit Essen aus?,food
Wo gibts was zu essen?,food
Bekomme ich hier was zu essen?,food
Essen?,food
Welche Technik ist vorhanden?,equipment
Wie ist die technische Ausstattung?,equipment
Was steht alles zur Verfügung?,equipment
Was für Material steht zur Verfügung?,equipment
Wo ist die Garderobe?,luggage
Wo kann ich mein Gepäck abstellen?,luggage
Kann ich meine Sachen irgendwo wegsperren?,luggage
Gibt es Schließfächer?,lugagge
Wo kann ich meine Sachen sicher verwahren?,lugagge
Gibt es Empfehlungen für die Raumnutzung?,usage
Wie ist die Raumnutzung vorgesehen?,usage
Wie sind die Räume zu nutzen?,usage
Gibt es Tipps wie die Räume genutzt werden können?,usage
